longitude,latitude,total_rooms,total_bedrooms,population,households,median_house_value
-117.08,34.02,3111,563,1453,538,122800
-118.25,34.01,1429,386,1412,354,107200
-122.42,37.62,1355,214,682,246,324700
-120.14,34.59,1601,282,731,285,259800
-121.27,38.13,2614,634,1862,654,70700
-122.46,37.65,2751,502,2027,491,322900
-117.67,35.63,3661,787,1613,706,63500
-117.26,33.19,2342,595,1518,545,216100
-117.96,34.09,2686,613,2477,573,160800
-122.54,37.9,3170,622,1091,528,389200
-118.28,34.06,2518,1196,3051,1000,175000
-117.12,32.75,2795,773,1869,690,101800
-120.79,37.49,1186,225,687,234,160700
-121.35,38.66,3322,805,1694,774,130700
-117.91,33.61,3082,455,771,365,500001
-117.83,34.15,2421,306,1023,298,451500
-116.19,33.69,5692,1346,5682,1273,74000
-117.11,32.8,3890,586,2791,595,67500
-118.32,33.83,2399,516,1160,514,318900
-122.26,37.83,1656,420,718,382,182300
-122.13,37.46,2247,573,1711,511,185600
-120.47,37.3,3693,771,2102,742,75000
-118.16,34.02,1474,511,1962,501,139600
-118.3,34.06,2437,1283,3906,1084,270000
-121.85,37.28,4208,954,1476,904,87500
-122.37,38.33,1868,291,764,284,195100
-118.07,34,2976,636,2117,598,167300
-122.49,37.73,1937,336,742,307,369400
-122.25,38,2978,411,1531,400,237700
-121.95,37.94,3153,411,1318,431,285400
-120.05,36.96,1000,261,1092,233,52300
-122.47,37.75,2713,396,1090,401,500001
-120.27,37.12,1219,258,639,245,57000
-118.04,34.13,3359,643,1227,588,276200
-118.14,33.89,1250,276,866,268,175000
-117.8,33.74,3569,551,1540,537,247200
-118.43,34.18,2417,510,1102,507,282200
-122.13,37.68,1676,340,924,328,179400
-120.2,39.12,2146,361,197,76,200000
-117.11,32.75,2127,658,1812,603,100000
-118.31,33.88,2421,671,1491,587,242300
-121.38,38.71,4842,935,2857,907,133000
-117.98,33.73,3833,,2192,996,219700
-117.38,33.94,2468,380,1164,385,136800
-121.32,38.7,3214,551,1879,562,124900
-120.45,34.96,1949,396,1575,377,121400
-120.95,36.47,1691,301,618,239,225000
-122.42,37.78,1254,469,895,456,187500
-119.34,36.34,4505,834,1917,775,126600
-122.41,37.81,3991,1311,2305,1201,500001
-122.72,38.42,1168,253,937,248,146000
-117.25,34.49,2372,361,1017,322,170900
-122.27,37.54,2140,420,990,394,438800
-117.11,32.77,1506,233,478,240,300000
-121.27,38.71,4082,666,1912,652,142900
-116.46,33.78,2565,745,2301,638,83000
-116.01,33.51,2985,958,4042,905,66400
-121.3,38.71,5434,1106,2755,1047,99900
-121.91,36.61,2755,597,1519,554,234600
-118.36,33.88,2518,543,1107,508,295800
-121.83,39.73,1741,401,753,377,77900
-121.29,38.61,13553,2474,6544,2359,132700
-117.36,34.48,16533,2549,7588,2285,122100
-122.73,38.43,2677,691,1880,664,143200
-117.89,33.98,3088,711,1415,641,184500
-118.4,34.26,4379,872,2560,853,154300
-117.27,33.55,6112,890,2088,712,429000
-122.48,38.51,1977,393,741,339,247600
-123.22,40.54,1573,361,847,330,49600
-121.48,38.58,2434,744,1281,662,140600
-121.43,38.57,2507,446,888,448,163700
-118.08,34,1165,358,997,361,166300
-118.05,33.9,1047,227,975,239,155000
-118.4,34.06,1871,326,646,284,500001
-117.98,33.81,3751,878,2281,815,183100
-119.86,36.82,1488,253,675,223,89300
-118.33,33.89,1816,338,897,306,230800
-122.42,37.77,2185,656,1266,626,350000
-118.44,34.21,1665,335,1011,343,185100
-118.38,33.82,1822,364,750,366,500001
-117.97,33.88,1344,279,530,265,185100
-121.85,37.33,735,158,597,134,188100
-117.6,34.08,2700,460,1432,449,159800
-119,36.05,3208,691,1986,662,52300
-117.95,33.86,2375,439,1343,424,193500
-122,37.99,4035,641,1881,659,192300
-118.45,34.03,727,168,520,175,300000
-118.25,34.1,598,147,312,144,164300
-122.32,37.57,2574,614,2377,588,237900
-122.07,37.89,3410,746,1428,670,266800
-118.41,34,105,20,69,19,275000
-121.33,38.03,629,140,635,146,126700
-117.13,32.7,1210,292,945,258,78900
-117.31,34.12,1412,343,1127,351,70900
-121.89,37.68,1898,239,734,245,334100
-117.91,33.74,4273,965,2946,922,183200
-122.24,38.31,1938,301,823,285,280800
-117.37,33.19,4104,1274,4729,1187,173800
-122.28,37.83,1511,390,901,403,103900
-118.61,34.99,4031,766,1539,564,120800
-118.24,33.96,643,186,821,191,97300
-119.77,36.79,2258,427,1076,423,81100
-118.4,33.98,2526,452,996,441,456600
-116.97,32.78,1255,238,671,278,138600
-118.15,34.71,1503,309,842,300,97700
-121.97,37.77,7241,1007,3221,947,324600
-118.49,34.02,2545,752,1548,679,475000
-123.19,39.12,267,57,196,60,70000
-121.27,38.64,1597,280,657,273,213500
-122.25,37.79,175,43,228,55,75000
-119.1,36.21,727,173,559,176,49500
-118.37,34.06,2239,423,832,411,470000
-118.34,33.83,1818,353,853,321,350900
-117.12,32.76,2160,608,1339,571,128100
-117.98,34.05,1560,315,1467,313,159800
-118.18,34.04,1670,,1997,452,150500
-118.61,34.17,5944,1345,2372,1250,328900
-117.52,33.88,722,178,770,165,102500
-117.96,33.69,2500,343,1242,368,316700
-121.81,37.26,3379,683,1465,620,236200
-122.21,37.83,5065,788,1627,766,333300
-121.76,37.68,2157,418,929,419,204400
-118.14,34.03,1447,293,1042,284,211500
-117.92,34.08,1285,228,679,231,191900
-119.78,36.76,1425,323,949,325,51300
-122.46,37.79,2106,373,743,348,500001
-122.16,37.73,1699,408,768,385,171600
-121.32,39.43,1860,409,741,349,84700
-121.08,39.18,2323,397,963,379,162700
-118.9,34.2,6510,817,2304,778,452100
-118.47,35.64,2248,535,927,427,68500
-120.91,38.73,5460,859,2645,838,230600
-117.83,33.79,1454,236,724,262,218100
-120.43,34.7,2353,389,1420,389,125800
-119,35.4,2250,378,928,379,93900
-121.91,37.42,1684,387,1224,376,174100
-118.86,34.22,1775,295,1004,323,251700
-118.32,33.96,1453,247,721,276,191000
-115.85,34.2,3868,1257,890,423,41000
-119.72,36.82,2627,613,1054,623,112500
-122.43,37.74,2637,539,1159,497,333100
-117.4,33.94,987,187,551,191,112000
-121.25,37.97,855,189,716,206,75000
-118.2,33.78,1766,497,1908,466,168800
-117.23,33.94,13195,2696,6763,2437,142000
-118.38,34.2,4138,1171,3911,1068,181700
-122.41,37.75,1057,276,837,292,229000
-118.42,34.18,1013,150,449,166,382400
-122.49,37.69,2576,443,1273,433,272800
-117.39,33.96,1992,345,948,358,129300
-118.85,34.17,564,96,220,81,318800
-117.83,33.82,3259,456,1354,459,267600
-118.16,33.94,2210,456,1270,484,178600
-117.22,32.75,617,112,251,110,162000
-117.1,32.68,1044,274,1003,280,97800
